"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"IMF.RES:WEO(9.0.0)","THA.BCA.A","OBS_VALUE","Thailand","Current account balance (credit less debit), US dollar","Annual","Billions","-2.076","-2.571","-1.003","-2.873","-2.109","-1.537","0.247","-0.366","-1.654","-2.498","-7.281","-7.571","-6.303","-6.355","-8.059","-13.582","-14.691","-3.021","14.242","12.428","9.313","5.101","4.654","4.772","2.759","-7.642","2.315","15.584","0.931","22.189","11.486","9.427","-4.899","-8.833","11.643","27.753","43.438","43.952","28.479","38.342","20.732","-10.839","-16.996","8.479","11.619","17.715","4.105","8.231","11.416","14.423","16.068","18.022"
"IMF.RES:WEO(9.0.0)","THA.NGDP_RPCH.A","OBS_VALUE","Thailand","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.601","5.910","5.353","5.581","5.760","4.643","5.534","9.519","13.288","12.194","11.623","8.403","9.230","8.676","7.997","8.120","5.652","-2.754","-7.634","4.572","4.455","3.444","6.149","7.189","6.289","4.188","4.968","5.435","1.726","-0.691","7.513","0.840","7.243","2.687","0.984","3.134","3.435","4.178","4.223","2.115","-6.093","1.553","2.685","2.240","2.945","2.413","1.500","2.101","2.292","2.456","2.497","2.500"
"IMF.RES:WEO(9.0.0)","THA.GGXWDG.A","OBS_VALUE","Thailand","Gross debt, General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","685.230","1901.360","2327.840","2607.056","2804.279","2934.900","2934.900","2930.000","3126.600","3389.000","3233.100","3183.400","3408.200","4001.900","4230.300","4448.300","4937.200","5430.600","5690.800","5783.300","5988.400","6369.300","6781.000","6901.800","7848.200","9337.500","10373.900","11131.634","11627.854","12226.290","12902.701","13483.995","14095.365","14751.024","15425.178","16118.945"
"IMF.RES:WEO(9.0.0)","THA.LUR.A","OBS_VALUE","Thailand","Unemployment rate","Annual","Units","","","","","","","","","","","2.200","3.100","2.800","2.600","2.600","1.700","1.500","1.500","4.400","4.200","3.600","3.300","2.400","2.200","2.100","1.900","1.500","1.400","1.400","1.500","1.000","0.700","0.700","0.700","0.800","0.900","1.000","1.200","1.100","1.000","1.700","1.900","1.300","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000"
"IMF.RES:WEO(9.0.0)","THA.NGDPPC.A","OBS_VALUE","Thailand","Gross domestic product (GDP), Current prices, Per capita, Domestic currency","Annual","Units","14445.802","16254.394","17650.598","18962.410","19977.244","20977.409","22099.441","24892.468","29354.638","34395.873","40020.141","45140.302","50780.037","55940.188","62659.410","70923.280","77142.680","77412.886","76342.375","76885.008","80463.352","83973.373","89775.912","97386.798","106250.031","115339.421","126197.024","135260.465","143551.514","141786.757","157600.352","163851.086","177967.114","184911.403","188421.939","194830.240","205904.174","217659.124","229395.383","236138.671","218524.787","225604.390","242274.277","250942.621","260700.524","264922.442","271519.772","280224.501","290367.018","302069.423","314599.755","328632.501"
"IMF.RES:WEO(9.0.0)","THA.GGR_NGDP.A","OBS_VALUE","Thailand","Revenue, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","20.230","20.711","19.954","17.629","17.455","17.554","19.056","18.990","20.264","20.437","21.753","20.606","20.219","20.027","19.508","20.939","21.208","21.391","22.235","21.487","22.465","21.769","21.101","21.362","20.980","20.414","20.049","20.047","20.819","21.319","21.059","21.038","21.132","21.112","21.104","21.093","21.084"
"IMF.RES:WEO(9.0.0)","THA.NGSD_NGDP.A","OBS_VALUE","Thailand","Gross national savings, Percent of GDP","Annual","Units","17.722","18.292","19.733","18.171","19.238","23.516","25.600","26.281","28.952","30.599","41.539","34.783","34.451","34.903","35.590","35.045","34.692","32.204","32.644","30.015","30.051","27.959","26.578","27.116","27.792","26.384","28.055","31.423","28.546","28.513","28.724","29.334","26.792","25.356","26.777","29.271","31.614","32.565","30.839","30.863","27.908","26.535","24.395","24.034","23.648","25.141","22.829","23.311","23.691","23.908","23.856","23.805"
"IMF.RES:WEO(9.0.0)","THA.GGX_NGDP.A","OBS_VALUE","Thailand","Expenditure, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","17.176","17.962","21.634","23.922","26.472","19.346","20.824","25.712","18.286","19.331","19.580","18.739","19.999","19.226","21.722","22.009","21.113","22.251","21.636","22.187","22.278","21.356","21.606","21.159","20.553","24.885","26.774","24.657","22.728","22.606","22.966","23.267","23.074","23.157","23.293","23.297","23.300"
"IMF.RES:WEO(9.0.0)","THA.GGX.A","OBS_VALUE","Thailand","Expenditure, General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","701.724","810.083","1016.808","1116.369","1219.644","938.197","1062.297","1374.535","1127.931","1306.382","1459.596","1546.432","1769.209","1875.078","2051.961","2337.463","2401.032","2620.097","2784.888","2913.665","3027.323","3063.476","3294.034","3421.013","3454.532","3950.751","4283.246","4224.508","4065.261","4178.141","4340.773","4494.287","4587.513","4760.775","4970.921","5169.265","5388.387"
"IMF.RES:WEO(9.0.0)","THA.PCPIPCH.A","OBS_VALUE","Thailand","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","19.700","12.693","5.251","3.868","0.868","2.257","1.843","2.566","3.757","5.468","5.840","5.790","4.015","3.381","5.056","5.796","5.825","5.628","7.960","0.239","1.697","1.612","0.659","1.818","2.809","4.467","4.714","2.163","5.486","-0.869","3.300","3.811","3.009","2.186","1.895","-0.898","0.186","0.664","1.067","0.706","-0.846","1.231","6.076","1.229","0.398","-0.134","0.916","1.006","1.200","1.400","1.500","1.800"
"IMF.RES:WEO(9.0.0)","THA.NGDPRPC.A","OBS_VALUE","Thailand","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Annual","Units","33307.809","34581.535","35745.041","37049.509","38477.287","39542.453","40979.866","44077.224","49074.015","54188.526","59646.156","63896.245","69095.333","74411.942","79629.012","85238.062","89062.832","85590.683","78108.630","80744.567","83392.544","85392.908","89775.897","95337.473","100429.602","103739.134","107992.561","112954.808","114024.806","112404.105","120041.738","120299.882","128216.076","130890.859","131480.571","134977.583","138985.663","144180.917","149814.968","152670.194","143129.336","145177.713","149058.757","152467.793","157032.947","160929.629","163481.099","167081.939","171105.624","175531.779","180170.281","184962.856"
"IMF.RES:WEO(9.0.0)","THA.NGDPRPPPPC.A","OBS_VALUE","Thailand","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","Annual","Units","4642.926","4820.476","4982.662","5164.498","5363.523","5512.001","5712.368","6144.123","6840.648","7553.583","8314.347","8906.786","9631.510","10372.616","11099.847","11881.718","12414.870","11930.871","10887.914","11255.349","11624.463","11903.302","12514.267","13289.520","13999.335","14460.666","15053.570","15745.280","15894.432","15668.515","16733.159","16769.143","17872.617","18245.467","18327.670","18815.134","19373.838","20098.028","20883.384","21281.387","19951.444","20236.976","20777.972","21253.173","21889.531","22432.707","22788.368","23290.305","23851.185","24468.166","25114.748","25782.807"
"IMF.RES:WEO(9.0.0)","THA.PCPIE.A","OBS_VALUE","Thailand","All Items, Consumer price index (CPI), End-of-period (EoP)","Annual","Units","30.600","34.300","35.200","36.600","36.300","37.600","38.300","39.700","40.900","43.500","41.840","43.790","45.180","47.130","49.360","53.070","55.580","59.750","62.350","62.720","63.740","64.110","65.130","66.340","68.290","72.180","74.880","77.100","77.470","80.160","82.640","85.560","88.660","90.150","90.690","89.910","90.920","91.620","91.950","92.750","92.500","94.510","100.080","99.240","100.470","100.190","101.718","102.537","104.280","106.053","107.962","110.121"
"IMF.RES:WEO(9.0.0)","THA.GGXCNL_NGDP.A","OBS_VALUE","Thailand","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","3.054","2.749","-1.681","-6.292","-9.017","-1.792","-1.768","-6.722","1.978","1.106","2.173","1.867","0.220","0.801","-2.214","-1.070","0.094","-0.860","0.599","-0.700","0.188","0.413","-0.506","0.203","0.427","-4.470","-6.725","-4.609","-1.909","-1.287","-1.906","-2.230","-1.942","-2.044","-2.189","-2.204","-2.216"
"IMF.RES:WEO(9.0.0)","THA.NGDPD.A","OBS_VALUE","Thailand","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","33.422","35.999","37.799","41.366","43.179","40.185","44.520","52.204","63.704","74.637","88.467","101.247","115.576","128.889","146.684","169.279","183.035","150.180","113.676","126.669","126.392","120.296","134.301","152.281","172.896","189.318","221.758","262.943","291.383","281.711","341.105","370.819","397.558","420.334","407.339","401.296","413.366","456.357","506.754","543.977","500.275","506.050","495.692","517.013","529.386","577.010","579.996","584.045","599.255","622.614","647.521","675.349"
"IMF.RES:WEO(9.0.0)","THA.NGDP_FY.A","OBS_VALUE","Thailand","Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency","Annual","Billions","","","","","","","","","","","","2503.485","2847.607","3181.481","3582.674","4085.483","4510.055","4699.943","4666.795","4607.310","4849.547","5101.367","5345.826","6168.364","6757.794","7454.616","8252.517","8846.464","9752.659","9446.537","10620.555","11372.077","11775.032","12871.547","13132.264","13589.050","14345.024","15245.782","16167.922","16807.808","15876.214","15998.016","17133.294","17886.266","18482.402","18901.254","19315.815","19882.012","20558.860","21340.390","22188.782","23126.376"
"IMF.RES:WEO(9.0.0)","THA.PPPEX.A","OBS_VALUE","Thailand","Rate, Domestic currency per international dollar in PPP terms, ICP benchmarks 2017-2021","Annual","Units","9.038","8.948","8.853","8.831","8.646","8.564","8.533","8.720","8.922","9.110","9.282","9.454","9.616","9.608","9.847","10.198","10.425","10.702","11.436","10.986","10.886","10.850","10.865","10.883","10.977","11.185","11.404","11.378","11.736","11.687","12.018","12.215","12.221","12.230","12.194","12.169","12.373","12.386","12.153","11.829","11.407","11.148","10.886","10.630","10.463","10.088","9.895","9.777","9.733","9.698","9.662","9.657"
"IMF.RES:WEO(9.0.0)","THA.NID_NGDP.A","OBS_VALUE","Thailand","Gross capital formation, Percent of GDP","Annual","Units","26.499","26.339","23.222","25.985","25.004","28.335","25.988","27.994","32.671","35.212","41.529","42.075","39.719","39.656","40.908","42.863","42.533","34.275","20.071","20.173","22.283","23.112","22.744","23.829","25.681","30.421","27.012","25.496","28.226","20.636","25.357","26.791","28.024","27.457","23.919","22.356","21.105","22.934","25.220","23.815","23.764","28.677","27.823","22.394","21.453","22.071","22.121","21.902","21.786","21.591","21.374","21.136"
"IMF.RES:WEO(9.0.0)","THA.PCPI.A","OBS_VALUE","Thailand","All Items, Consumer price index (CPI), Period average","Annual","Units","26.504","29.868","31.437","32.653","32.936","33.679","34.300","35.180","36.502","38.498","40.746","43.105","44.836","46.352","48.695","51.518","54.518","57.587","62.171","62.319","63.377","64.398","64.823","66.001","67.855","70.886","74.228","75.833","79.993","79.298","81.915","85.037","87.596","89.511","91.207","90.388","90.556","91.158","92.130","92.780","91.995","93.128","98.786","100.000","100.398","100.264","101.182","102.200","103.427","104.874","106.448","108.364"
"IMF.RES:WEO(9.0.0)","THA.NGDP_D.A","OBS_VALUE","Thailand","Gross domestic product (GDP), Price deflator, Index","Annual","Units","43.371","47.003","49.379","51.181","51.920","53.050","53.928","56.475","59.817","63.474","67.096","70.646","73.493","75.176","78.689","83.206","86.616","90.445","97.739","95.220","96.487","98.338","100.000","102.150","105.796","111.182","116.857","119.747","125.895","126.140","131.288","136.202","138.802","141.271","143.308","144.343","148.148","150.963","153.119","154.672","152.676","155.399","162.536","164.587","166.016","164.620","166.086","167.717","169.700","172.088","174.612","177.675"
