Table 7 :  Composition of private final consumption expenditure at current market prices (original),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Individual consumption expenditure of households , (1.1)Food and Non-alcoholic,(1.1.1) Food ,(1.1.1.1) Bread and Cereals,(1.1.1.2)Meat (5),(1.1.1.3)Fish (6),"(1.1.1.4)Milk, Cheese and Eggs",(1.1.1.5)Oil and Fat,(1.1.1.6)Fruit ,(1.1.1.7)Vegetables ,"(1.1.1.8) Sugar, Jam, Honey, Chocolate and Confectionery ",(1.1.1.9) Food Products n.e.c. ,(1.1.2) Non-alcoholic Beverages,"(1.2)Alcoholic Beverages, Tobacco and Narcotic ",(1.2.1) Alcoholic Beverages ,(1.2.2)Tobacco ,(1.3)Clothing and Footwear ,(1.3.1)Clothing,(1.3.2) Footwear ,"(1.4)Housing, Water, Electricity, Gas and Other Fuels ",(1.4.1)Housing and Water ,"(1.4.2)Electricity, Gas and Other Fuels ","(1.5) Furnishings, Households Equipment and Routine Maintenance of the House ","(1.5.1)Furniture and Furnishings, Carpets and Other Floor Covering ",(1.5.2) Households Equipment and Routine Maintenance of the House ,(1.6) Health ,(1.7) Transport ,(1.7.1) Purchase of Vehicles ,(1.7.2) Operation of Personal Transport Equipment,(1.7.3) Transport Services ,(1.8) Communication ,(1.9) Recreation and Culture ,"(1.9.1) Audio-visual, Photographic and Information Processing Equipment",(1.9.2)Other Recreation and Entertainment,"(1.9.3) Newspaper, Books and Stationery",(1.10) Education,(1.11) Restaurants and Hotels ,(1.12) Miscellaneous Goods and Services ,(1.12.1) Personal Care ,(1.12.2)Personal Effects n.e.c. ,(1.12.3)Financial Services ,(1.12.4)Other Services n.e.c. ,(2)Individual consumption expenditure by non-profit institution serving households (NPISHs),(3)Private final consumption expenditure in The Domestic Market ,(4)Plus : Expenditure of Resident Abroad ,(5)Less : Expenditure of Non-resident in The Country ,(6)Private final consumption expenditure ,,
2021,Q4,"2,155,391","550,157","479,827","91,153","58,362","47,971","39,614","31,336","28,905","142,734","13,550","26,202","70,330","78,542","49,510","29,032","106,822","99,858","6,964","226,524","159,677","66,847","88,301","6,234","82,067","128,618","310,430","89,073","150,632","70,725","51,487","105,905","20,753","73,935","11,217","30,582"," 166,227 "," 311,796 "," 56,602 "," 63,714 "," 159,779 "," 31,701 "," 41,188 "," 2,196,579 "," 27,462 "," 35,916 "," 2,188,125 ",,
2022,Q1,"2,187,503","648,546","575,344","130,987","63,852","67,438","48,051","31,053","83,016","121,854","12,976","16,117","73,202","75,648","47,107","28,541","59,851","53,206","6,645","227,109","157,730","69,379","91,979","9,057","82,922","130,298","296,391","97,633","127,029","71,729","45,972","108,336","21,468","75,798","11,070","28,682"," 183,305 "," 291,386 "," 70,474 "," 58,858 "," 130,225 "," 31,829 "," 36,541 "," 2,224,044 "," 31,608 "," 70,292 "," 2,185,360 ",,
2022,Q2,"2,396,113","626,292","551,600","123,597","84,554","55,996","39,136","23,209","56,506","133,591","17,021","17,990","74,692","68,394","39,145","29,249","60,301","53,645","6,656","237,002","155,716","81,286","91,542","7,038","84,504","144,852","309,133","94,186","157,061","57,886","51,402","100,438","22,812","65,949","11,677","31,655"," 370,824 "," 304,278 "," 49,024 "," 77,629 "," 146,229 "," 31,396 "," 30,754 "," 2,426,867 "," 48,694 "," 81,593 "," 2,393,968 ",,
2022,Q3,"2,468,157","673,963","603,509","116,339","87,871","70,721","56,650","23,806","46,350","159,940","19,389","22,443","70,454","59,365","36,032","23,333","70,051","63,139","6,912","237,219","155,599","81,620","91,174","6,388","84,786","138,757","311,906","92,203","155,805","63,898","44,922","105,946","18,201","73,608","14,137","32,254"," 400,578 "," 302,022 "," 53,121 "," 70,352 "," 149,405 "," 29,144 "," 39,289 "," 2,507,446 "," 57,702 "," 125,284 "," 2,439,864 ",,
2022,Q4,"2,535,579","603,418","525,224","99,630","71,170","51,251","45,239","34,430","31,765","149,220","14,586","27,933","78,194","82,680","52,895","29,785","110,766","103,467","7,299","247,675","163,668","84,007","89,911","6,493","83,418","138,569","353,199","86,850","171,333","95,016","52,372","116,269","20,465","84,044","11,760","32,634"," 374,928 "," 333,158 "," 59,478 "," 67,986 "," 172,993 "," 32,701 "," 44,090 "," 2,579,669 "," 73,057 "," 185,290 "," 2,467,436 ",,
2023,Q1,"2,551,373","704,621","623,458","140,825","67,696","71,758","53,432","30,395","90,683","137,771","13,640","17,258","81,163","78,438","49,847","28,591","62,673","55,888","6,785","239,072","161,395","77,677","92,050","8,999","83,051","136,886","321,494","101,784","131,263","88,447","47,040","118,834","23,079","84,025","11,730","29,879"," 404,496 "," 315,890 "," 75,816 "," 61,768 "," 145,392 "," 32,914 "," 38,460 "," 2,589,833 "," 76,419 "," 246,400 "," 2,419,852 ",,
2023,Q2,"2,694,556","669,690","587,279","132,156","82,964","59,453","43,038","19,850","61,241","151,981","17,319","19,277","82,411","70,908","41,535","29,373","62,797","56,027","6,770","265,249","160,580","104,669","90,480","6,886","83,594","153,061","315,015","104,496","144,113","66,406","52,657","106,519","21,980","72,720","11,819","32,719"," 550,335 "," 325,126 "," 52,158 "," 79,006 "," 162,082 "," 31,880 "," 31,549 "," 2,726,105 "," 88,808 "," 202,281 "," 2,612,632 ",,
2023,Q3,"2,746,763","702,982","626,442","124,252","82,558","74,054","63,580","20,249","50,332","167,613","19,909","23,895","76,540","61,595","38,140","23,455","72,214","65,240","6,974","255,358","159,581","95,777","89,930","6,243","83,687","143,423","326,260","94,816","158,132","73,312","46,322","111,974","19,675","77,677","14,622","32,758"," 581,704 "," 322,243 "," 57,070 "," 69,728 "," 165,843 "," 29,602 "," 40,331 "," 2,787,094 "," 94,799 "," 236,959 "," 2,644,934 ",,
2023,Q4,"2,752,393","620,700","536,505","108,742","66,013","53,588","49,424","31,614","32,577","150,444","15,039","29,064","84,195","85,961","55,925","30,036","113,477","106,167","7,310","248,227","167,065","81,162","90,357","6,563","83,794","143,746","362,468","90,401","164,082","107,985","53,944","123,491","21,446","90,048","11,997","33,378"," 516,328 "," 360,316 "," 64,373 "," 74,545 "," 188,593 "," 32,805 "," 43,037 "," 2,795,430 "," 109,927 "," 282,343 "," 2,623,014 ",,
2024,Q1,"2,809,043","723,268","634,799","147,665","64,196","76,550","55,905","27,877","95,453","135,101","14,083","17,969","88,469","82,323","54,105","28,218","66,324","59,293","7,031","249,864","164,211","85,653","94,928","9,254","85,674","140,475","320,237","86,436","129,680","104,121","50,438","125,308","23,944","89,784","11,580","30,679"," 595,596 "," 329,603 "," 73,146 "," 65,624 "," 157,749 "," 33,084 "," 38,929 "," 2,847,972 "," 115,200 "," 388,354 "," 2,574,818 ",,
2024,Q2,"2,881,547","702,395","614,274","140,567","82,560","62,515","45,426","18,809","63,445","162,713","18,121","20,118","88,121","73,822","43,867","29,955","66,255","59,239","7,016","270,146","163,407","106,739","93,249","7,254","85,995","156,914","310,230","86,199","149,168","74,863","54,919","111,162","22,109","76,968","12,085","33,733"," 672,324 "," 336,398 "," 50,502 "," 86,422 "," 166,607 "," 32,867 "," 32,871 "," 2,914,418 "," 126,459 "," 287,653 "," 2,753,224 ",,
2024,Q3,"2,885,792","734,730","653,784","131,253","81,405","77,708","67,674","19,179","53,280","177,218","20,974","25,093","80,946","63,611","39,824","23,787","74,959","67,662","7,297","252,096","161,297","90,799","91,791","6,410","85,381","147,131","315,065","75,339","158,667","81,059","47,380","115,787","19,300","81,650","14,837","33,813"," 680,866 "," 328,563 "," 54,848 "," 77,020 "," 166,360 "," 30,335 "," 41,023 "," 2,926,815 "," 130,414 "," 313,073 "," 2,744,156 ",,
2024,Q4,"2,939,149","647,826","556,463","114,626","66,541","56,460","51,295","29,893","34,583","156,642","15,770","30,653","91,363","89,404","58,873","30,531","119,819","112,143","7,676","254,761","169,908","84,853","92,286","6,758","85,528","147,931","357,829","70,154","166,709","120,966","55,186","128,355","22,728","93,478","12,149","34,476"," 647,769 "," 363,507 "," 60,102 "," 79,280 "," 190,135 "," 33,990 "," 43,561 "," 2,982,710 "," 120,515 "," 369,743 "," 2,733,482 ",,
2025,Q1,"2,939,098","755,015","661,919","157,470","64,648","79,465","57,060","28,150","101,871","139,840","14,472","18,943","93,096","84,325","55,785","28,540","68,948","61,684","7,264","244,950","166,863","78,087","94,528","9,219","85,309","143,959","321,113","82,931","125,813","112,369","51,512","127,985","24,934","91,111","11,940","31,736"," 679,487 "," 335,540 "," 77,613 "," 69,164 "," 155,101 "," 33,662 "," 38,532 "," 2,977,630 "," 105,009 "," 422,786 "," 2,659,853 ",,
2025,Q2,"2,961,883","733,925","639,227","152,009","81,556","65,119","46,055","19,570","67,908","166,600","19,182","21,228","94,698","74,621","44,371","30,250","68,118","61,252","6,866","262,006","166,494","95,512","91,866","7,191","84,675","161,626","308,119","93,954","137,226","76,939","56,513","110,517","22,868","75,179","12,470","34,928"," 718,434 "," 341,210 "," 52,019 "," 94,317 "," 161,804 "," 33,070 "," 33,244 "," 2,995,127 "," 107,347 "," 285,415 "," 2,817,059 ",,
2025,Q3,"2,946,983","761,708","676,184","140,252","82,328","80,234","68,395","18,877","55,725","182,817","21,443","26,113","85,524","64,047","39,968","24,079","75,601","68,428","7,173","254,697","164,652","90,045","90,203","6,242","83,961","150,687","309,636","84,640","144,304","80,692","48,838","116,224","19,387","81,793","15,044","34,890"," 710,880 "," 329,572 "," 57,084 "," 81,098 "," 159,981 "," 31,409 "," 41,316 "," 2,988,299 "," 98,340 "," 285,782 "," 2,800,857 ",,
2025,Q4,"3,014,612","675,173","578,534","123,730","66,836","58,872","52,208","31,133","36,014","161,502","16,244","31,995","96,639","89,743","59,252","30,491","121,832","113,944","7,888","252,657","173,285","79,372","92,687","6,868","85,819","151,586","363,419","87,411","152,185","123,823","56,753","129,475","23,706","93,559","12,210","35,646"," 673,283 "," 372,358 "," 63,763 "," 86,685 "," 186,642 "," 35,268 "," 43,644 "," 3,058,256 "," 105,127 "," 349,576 "," 2,813,807 ",,
2026,Q1r,"3,037,617","775,254","677,824","162,279","64,611","82,265","57,812","28,322","105,612","142,797","14,890","19,236","97,430","84,925","55,953","28,972","71,073","63,737","7,336","250,119","169,673","80,446","94,058","9,102","84,956","147,366","331,220","94,672","121,006","115,542","53,015","131,986","25,750","94,152","12,084","32,797"," 720,661 "," 345,143 "," 81,202 "," 77,569 "," 150,897 "," 35,475 "," 38,738 "," 3,076,355 "," 108,793 "," 444,146 "," 2,741,002 ",,
2026,Q2,"3,091,009","759,309","658,884","159,101","81,307","66,850","47,565","19,547","70,477","172,306","19,700","22,031","100,425","75,446","44,669","30,777","71,800","64,566","7,234","271,948","168,592","103,356","92,047","7,241","84,806","166,980","345,828","105,244","159,524","81,060","58,179","116,120","25,036","78,242","12,842","36,157"," 755,693 "," 341,502 "," 53,349 "," 92,748 "," 160,595 "," 34,810 "," 34,188 "," 3,125,197 "," 112,815 "," 316,282 "," 2,921,730 ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
