"Table 22.1 :  Exports and Imports of goods and services,  chain volume measures [reference year = 2002] (seasonally adjusted) q-o-q growth rate",,,,,,,
,,,,,,,
,, (1) Exports of goods and services,(1.1)Exports of goods ,(1.2)Exports of services ,(2)Imports of goods and services,(2.1)Imports of goods ,(2.2)Imports of services 
2019,Q2,-0.2 ,0.5 ,2.0 ,0.1 ,0.5 ,0.6 
2019,Q3,2.9 ,1.6 ,6.7 ,-0.7 ,-0.5 ,-2.9 
2019,Q4,-2.5 ,-3.4 ,-2.5 ,-5.0 ,-4.4 ,-5.9 
2020,Q1,-6.3 ,3.2 ,-33.4 ,1.6 ,2.9 ,-3.9 
2020,Q2,-24.3 ,-17.5 ,-57.8 ,-20.4 ,-18.4 ,-28.9 
2020,Q3,10.7 ,13.1 ,-10.0 ,3.4 ,3.0 ,3.0 
2020,Q4,0.1 ,3.0 ,-6.5 ,10.9 ,12.1 ,7.2 
2021,Q1,7.4 ,7.1 ,7.7 ,11.2 ,11.0 ,14.2 
2021,Q2,7.6 ,4.4 ,20.3 ,1.4 ,1.0 ,2.9 
2021,Q3,-2.1 ,-2.2 ,-0.2 ,1.5 ,0.5 ,4.8 
2021,Q4,5.8 ,8.0 ,3.1 ,2.7 ,2.8 ,0.6 
2022,Q1,0.6 ,-0.9 ,15.1 ,-1.9 ,-1.8 ,-0.5 
2022,Q2,2.8 ,-0.9 ,26.3 ,4.5 ,3.5 ,9.0 
2022,Q3,-1.2 ,-3.8 ,18.0 ,3.0 ,2.2 ,8.3 
2022,Q4,-3.3 ,-4.7 ,8.7 ,-10.1 ,-13.6 ,-3.6 
2023,Q1,3.7 ,3.9 ,4.5 ,2.6 ,5.2 ,-0.5 
2023,Q2,0.8 ,-1.0 ,10.9 ,1.5 ,1.9 ,1.5 
2023,Q3,1.0 ,-0.3 ,6.5 ,-3.5 ,-4.3 ,-1.2 
2023,Q4,1.6 ,1.9 ,0.1 ,4.1 ,2.1 ,7.9 
2024,Q1,0.8 ,-2.2 ,13.1 ,3.4 ,4.1 ,4.9 
2024,Q2,1.8 ,3.1 ,-0.6 ,-3.0 ,-3.9 ,-0.4 
2024,Q3,4.6 ,4.7 ,3.4 ,4.8 ,5.8 ,1.1 
2024,Q4,3.9 ,3.6 ,3.8 ,1.8 ,2.2 ,-0.9 
2025,Q1,1.1 ,2.0 ,-2.2 ,-1.8 ,-1.0 ,-3.8 
2025,Q2,1.9 ,3.4 ,-4.3 ,4.8 ,6.6 ,-2.0 
2025,Q3,0.4 ,1.1 ,-3.7 ,1.3 ,1.1 ,-0.1 
2025,Q4,2.5 ,2.0 ,5.1 ,4.7 ,5.8 ,3.3 
2026,Q1,7.0 ,8.2 ,3.1 ,9.2 ,9.8 ,5.2 
2026,Q2,2.3 ,2.3 ,1.0 ,7.2 ,8.4 ,3.1 
