"Table 6.1 :  Gross domestic product, chain volume measures [reference year = 2002] (Seasonally Adjusted) q-o-q Growth Rate",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Agriculture,"(1.1) Agriculture, forestry and fishing",(2) Non-agriculture,(2.1) Industrial,(2.1.1) Mining and quarrying,(2.1.2) Manufacturing,"(2.1.3) Electricity, gas, steam and air conditioning supply","(2.1.4) Water supply; sewerage, waste management and remediation activities",(2.2) Services,(2.2.1) Construction,(2.2.2) Wholesale and retail trade; repair of motor vehicles and motorcycles,(2.2.3) Transportation and storage,(2.2.4) Accommodation and food service activities,(2.2.5) Information and communication,(2.2.6) Financial and insurance activities,(2.2.7) Real estate activities,"(2.2.8) Professional, scientific and technical activities",(2.2.9) Administrative and support service activities,(2.2.10) Public administration and defence; compulsory social security,(2.2.11) Education,(2.2.11)Health and Social  Work (21),"(2.2.11)Arts, entertainment and recreation (22)",(2.2.11)Other Service Activities (23),(2.2.11)Private Household with Employed Persons (24),(3) Gross Domestic Product (CVM) (25)
2001,Q2,1.7,1.7,1.0,1.0,5.7,0.7,0.6,-2.6,0.6,-6.5,-0.4,2.4,0.6,6.9,0.5,-0.7,7.4,8.8,0.2,1.0,0.8,0.1,1.6,0.0,1.2
2001,Q3,0.0,0.0,0.4,1.1,-2.0,1.0,3.8,5.9,0.3,10.9,-1.0,-1.6,-1.2,5.6,-11.9,1.7,-0.7,1.2,4.7,2.6,3.8,-2.7,-1.7,-0.6,0.3
2001,Q4,2.6,2.6,1.2,1.1,0.5,1.3,0.1,-3.8,1.2,-1.1,0.5,-1.6,-0.7,4.0,16.9,3.1,-4.8,-2.6,2.5,1.2,2.7,-2.6,0.4,-1.1,1.2
2002,Q1,-4.9,-4.9,2.4,1.9,5.8,1.5,2.9,0.2,2.6,3.3,1.1,6.6,2.7,-1.7,4.1,6.3,0.5,5.5,1.9,-0.8,2.1,3.3,1.0,-4.2,1.7
2002,Q2,4.7,4.7,2.5,3.5,1.7,4.1,-0.4,0.3,1.6,4.0,0.0,3.2,-0.9,-0.4,2.6,1.7,9.9,22.2,-0.2,0.1,0.4,0.0,-0.2,-4.2,2.9
2002,Q3,2.6,2.6,1.1,3.3,2.3,3.7,1.0,1.0,0.2,-6.2,0.8,1.4,-0.6,2.1,0.4,1.9,2.4,-5.1,-2.5,-1.7,-0.7,1.7,5.3,-0.5,1.1
2002,Q4,-5.9,-5.9,1.8,2.2,-3.5,1.9,9.6,1.5,1.3,-0.3,2.7,-0.7,2.3,9.5,0.9,2.7,2.5,0.1,1.1,-0.8,1.8,-0.7,2.9,0.6,0.9
2003,Q1,9.8,9.8,1.7,2.9,7.5,3.0,-3.4,0.4,1.2,-0.3,0.5,-0.3,3.0,-4.4,3.5,2.7,3.3,5.3,1.7,2.4,-3.4,-1.4,-1.7,9.5,2.5
2003,Q2,6.7,6.7,1.0,1.7,2.0,1.8,0.8,-0.2,0.4,5.3,1.8,-3.2,-16.1,3.0,2.1,1.6,5.3,3.4,1.6,1.0,0.9,11.1,0.1,0.8,1.6
2003,Q3,-1.2,-1.2,2.2,0.3,0.8,0.8,-3.0,4.7,3.6,3.3,1.0,2.9,14.3,4.3,11.0,1.9,-3.2,7.2,1.2,2.3,1.9,17.8,1.1,0.8,1.8
2003,Q4,-2.1,-2.1,1.8,3.4,2.5,3.0,5.8,3.4,0.5,0.1,0.2,1.8,4.8,7.6,-4.5,-2.6,3.9,3.8,-1.0,3.1,2.2,13.3,3.9,0.1,1.6
2004,Q1,0.4,0.4,1.6,2.2,-1.7,2.5,0.5,1.2,1.8,0.4,2.4,1.8,1.1,4.3,-0.9,4.0,2.9,-0.1,-0.7,0.2,1.0,3.1,5.3,-4.6,1.3
2004,Q2,-3.8,-3.8,1.9,0.5,-0.3,0.4,2.8,3.9,2.4,1.1,0.9,3.1,3.2,6.1,6.3,2.1,5.3,4.8,0.9,2.2,1.4,-5.5,3.9,-1.3,1.5
2004,Q3,1.5,1.5,1.1,1.6,1.8,2.0,3.0,-3.7,1.1,3.7,0.9,0.8,0.9,3.0,-1.9,1.7,4.1,5.4,0.1,-2.4,0.9,4.1,0.6,-0.3,1.1
2004,Q4,2.6,2.6,2.3,1.9,3.5,1.4,2.0,4.5,1.9,8.8,0.1,5.1,-3.3,1.6,5.8,1.9,6.6,3.4,0.1,3.2,3.0,8.9,1.4,0.3,2.3
2005,Q1,-5.6,-5.6,-0.6,-0.1,1.9,-0.7,2.3,0.8,-0.1,0.8,-0.8,-5.7,-5.4,4.9,0.0,-0.3,-2.4,-3.1,4.4,3.5,0.0,4.3,0.6,0.3,-1.2
2005,Q2,1.4,1.4,2.1,2.1,-0.2,2.7,-0.3,1.1,1.6,0.1,0.7,4.6,8.2,1.6,0.6,1.1,2.9,0.5,0.2,-0.3,-0.8,10.2,4.1,1.8,2.2
2005,Q3,5.0,5.0,1.1,1.4,13.0,0.9,-1.3,5.2,1.1,-1.2,1.4,1.6,2.9,2.4,0.6,1.2,4.4,1.0,0.0,-1.1,0.7,-2.6,-1.7,-1.2,1.4
2005,Q4,2.0,2.0,1.0,0.9,0.2,0.8,1.6,-8.6,0.7,2.6,2.2,0.1,0.3,5.9,-0.4,0.6,-0.9,2.0,0.3,-0.1,0.9,-0.9,2.3,-2.8,1.3
2006,Q1,-1.5,-1.5,1.1,1.3,3.7,0.8,1.7,1.4,1.5,0.5,0.0,-0.2,2.4,7.3,0.9,5.4,3.2,1.8,-0.5,1.3,1.1,3.9,1.4,-3.2,0.5
2006,Q2,-1.3,-1.3,1.4,1.3,-1.9,1.8,1.3,-2.2,1.2,-1.1,1.5,1.5,3.7,2.2,-2.1,1.3,0.8,1.3,3.0,3.9,0.6,-4.2,-0.6,-3.5,1.3
2006,Q3,5.9,5.9,0.8,1.1,0.3,1.5,-0.9,-0.6,0.7,-0.2,1.3,1.2,1.0,3.2,-0.8,1.1,2.9,-5.0,0.4,-0.6,0.4,0.2,0.7,-1.0,1.2
2006,Q4,-0.9,-0.9,2.4,3.3,0.8,3.4,2.2,-1.5,1.6,1.0,2.9,2.6,0.2,-0.1,1.9,0.2,-3.2,19.2,2.8,-0.1,0.5,-9.9,-1.3,0.6,2.2
2007,Q1,-0.4,-0.4,2.0,2.6,1.6,2.6,3.6,-0.7,2.0,0.8,2.7,2.3,0.0,2.1,-0.4,-1.9,10.4,-9.9,4.2,4.3,1.6,-4.2,-0.9,3.1,1.6
2007,Q2,-1.6,-1.6,0.2,-0.3,1.7,-0.3,-0.2,0.9,0.5,1.9,0.3,0.5,0.5,1.6,2.4,3.3,-1.3,-4.4,-0.8,-1.2,1.5,-0.8,1.9,2.2,0.2
2007,Q3,1.5,1.5,1.3,0.9,-0.5,0.7,5.5,-2.9,1.4,-0.1,1.6,0.6,1.6,0.3,2.8,-0.6,4.9,-3.5,2.5,3.1,1.2,-5.1,-1.3,1.3,1.4
2007,Q4,4.0,4.0,1.2,2.4,2.2,2.8,-4.5,6.1,0.4,5.9,-0.7,4.2,3.9,9.4,-0.7,1.9,0.0,5.3,-2.1,-4.2,-0.3,0.2,1.0,-0.1,1.5
2008,Q1,-1.3,-1.3,0.3,1.2,0.7,1.2,1.8,1.5,0.1,-6.3,0.4,-2.8,2.7,0.1,-3.0,2.3,1.0,6.0,0.8,-1.2,0.1,1.5,1.6,-7.8,0.0
2008,Q2,1.5,1.5,0.5,0.2,6.0,-0.5,3.5,-1.3,0.6,-3.9,0.6,1.3,0.8,2.5,-1.1,-1.7,2.5,-6.4,3.4,3.8,2.2,-0.4,-2.1,-0.8,0.7
2008,Q3,0.2,0.2,0.2,1.2,0.8,1.1,2.9,1.7,-0.8,-1.2,-0.9,-2.7,-2.4,0.2,2.5,-1.4,-5.6,1.0,-1.4,-0.4,0.2,1.4,-0.4,0.8,0.2
