Table 15.1 :  Gross fixed capital formation at current market prices classified by private and public institutions (seasonally adjusted) q-o-q growth Rate,,,,,,,,,,
,,,,,,,,,,
,,(1) Construction ,(1.1) Private (Construction),(1.2) Public (Construction),(2) Equipment ,(2.1) Private (Equipment),(2.2) Public (Equipment),(3) Gross fixed capital formation (By type of expenditure),(3.1) Private (Gross fixed capital formation),(3.2) Public (Gross fixed capital formation)
2022,Q2,1.4,7.2,-1.2,1.8,2.9,-7.4,1.7,3.1,-2.4
2022,Q3,-2.3,1.7,-5.0,4.3,4.3,8.2,1.9,4.0,-4.3
2022,Q4,3.3,-0.7,6.8,-1.1,-1.6,2.3,0.5,-1.4,6.8
2023,Q1,5.0,-3.6,9.1,-1.1,-1.5,0.1,0.9,-1.6,8.1
2023,Q2,-3.6,6.2,-8.6,1.0,2.7,-13.8,-0.8,2.8,-10.1
2023,Q3,-3.8,2.6,-8.4,0.7,1.0,3.0,-0.2,1.8,-7.2
2023,Q4,-6.8,-1.5,-11.5,0.0,1.1,-18.8,-2.1,0.3,-12.0
2024,Q1,-2.8,-1.3,-3.7,-0.3,-1.0,11.4,-1.3,-0.8,-1.0
2024,Q2,9.5,-1.1,19.2,-5.6,-7.4,20.6,-1.6,-6.6,19.3
2024,Q3,15.8,-1.2,28.2,5.7,6.8,-5.3,11.1,5.6,19.9
2024,Q4,-4.1,0.2,-5.4,-0.1,-0.7,4.1,-3.4,-0.7,-2.1
2025,Q1,-3.1,-1.3,-5.0,0.6,1.6,-10.5,-0.4,1.3,-8.4
2025,Q2,1.2,0.0,1.8,-2.2,-2.4,3.1,-1.4,-2.5,3.7
2025,Q3,0.8,-0.3,0.9,5.2,5.3,3.7,5.2,4.7,0.9
2025,Q4,11.7,6.1,17.3,1.5,0.7,7.9,3.2,1.6,17.0
2026,Q1,-6.4,-2.7,-9.4,4.5,5.1,-2.7,1.2,4.0,-10.3
2026,Q2,-2.4,0.6,-4.6,4.6,6.5,-13.2,1.4,4.5,-4.7
