Table 5.1 :  Gross Domestic Product at Current Market Prices (Seasonally Adjusted) q-o-q Growth Rate,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Agriculture,"(1.1) Agriculture, forestry and fishing",(2) Non-agriculture,(2.1) Industrial,(2.1.1) Mining and quarrying,(2.1.2) Manufacturing,"(2.1.3) Electricity, gas, steam and air conditioning supply","(2.1.4) Water supply; sewerage, waste management and remediation activities",(2.2) Services,(2.2.1) Construction,(2.2.2) Wholesale and retail trade; repair of motor vehicles and motorcycles,(2.2.3) Transportation and storage,(2.2.4) Accommodation and food service activities,(2.2.5) Information and communication,(2.2.6) Financial and insurance activities,(2.2.7) Real estate activities,"(2.2.8) Professional, scientific and technical activities",(2.2.9) Administrative and support service activities,(2.2.10) Public administration and defence; compulsory social security,(2.2.11) Education,(2.2.11)Health and Social  Work (21),"(2.2.11)Arts, entertainment and recreation (22)",(2.2.11)Other Service Activities (23),(2.2.11)Private Household with Employed Persons (24),(3) Gross Domestic Product (CVM) (25)
2013,Q3,3.3,3.3,1.3,1.5,1.5,1.4,0.5,6.6,1.3,-1.1,-1.5,3.0,4.8,-0.1,2.7,0.3,0.7,1.2,1.5,2.1,1.6,-2.5,-0.8,2.1,1.5
2013,Q4,0.3,0.3,0.1,0.6,2.7,0.8,-2.0,1.0,-0.6,-3.3,0.2,1.5,0.3,-1.7,2.4,-1.0,0.7,-4.4,-1.9,-2.2,-5.2,0.1,1.7,-0.1,0.6
2014,Q1,-5.0,-5.0,0.6,-0.1,0.7,-0.4,2.2,1.4,1.4,-4.0,3.6,-1.2,-4.0,1.0,3.2,-0.1,-1.0,1.1,2.5,5.1,9.2,-2.1,0.3,1.9,-0.4
2014,Q2,-2.7,-2.7,2.3,2.5,-0.7,2.8,4.2,7.8,1.8,6.6,1.5,1.3,1.4,2.0,1.7,3.0,0.7,-1.1,1.8,0.9,0.3,1.2,2.2,1.9,1.7
2014,Q3,-6.2,-6.2,1.0,-0.4,-2.7,-0.7,3.9,-11.6,2.1,2.2,2.5,1.7,5.8,1.7,2.9,0.5,0.2,1.5,0.9,0.8,1.2,2.5,2.6,1.9,0.3
2014,Q4,0.5,0.5,1.0,-1.1,-3.7,-0.7,0.4,12.1,2.1,-0.4,2.2,2.9,8.0,4.0,0.4,-1.9,0.5,2.7,1.8,1.6,-1.1,4.5,-1.9,2.5,0.9
2015,Q1,-2.3,-2.3,1.2,0.9,-9.4,1.9,2.1,-0.2,1.4,6.9,0.2,3.8,8.4,0.8,4.3,1.7,-3.3,-0.4,-1.4,-0.2,2.8,2.9,0.1,4.5,0.8
2015,Q2,-4.6,-4.6,1.3,-0.4,3.8,-0.1,-6.6,2.4,2.3,2.2,3.8,0.6,3.2,2.5,-0.1,-1.3,0.5,-0.1,4.3,2.2,1.4,1.4,2.2,3.0,0.8
2015,Q3,1.1,1.1,2.1,3.4,-1.2,3.2,6.5,3.4,1.3,-0.8,1.9,-0.4,-0.8,2.7,2.0,2.7,-0.2,0.1,2.2,3.5,3.3,-8.7,0.4,3.0,2.0
2015,Q4,-0.2,-0.2,0.9,-1.3,-7.3,-0.5,1.7,-2.0,2.2,8.2,3.2,2.4,-0.4,0.2,1.4,3.3,0.1,1.2,-0.1,-0.2,4.3,10.0,0.0,0.7,0.6
2016,Q1,-3.3,-3.3,2.1,1.7,-1.5,1.7,4.5,3.0,2.1,-1.7,2.2,6.9,11.9,-2.7,3.2,1.4,-3.5,-0.1,1.0,-0.2,-1.6,6.5,0.9,-2.9,1.7
2016,Q2,3.4,3.4,2.2,2.6,1.7,2.6,5.2,0.0,2.0,1.8,3.0,1.1,3.8,3.1,1.8,1.0,1.1,0.4,0.2,0.0,1.9,7.1,1.9,-0.6,2.4
2016,Q3,4.0,4.0,1.1,-0.1,-2.6,0.3,-5.0,4.8,1.9,-3.2,3.4,2.0,3.6,1.6,1.1,0.3,-0.2,1.3,1.8,2.0,1.7,2.5,1.2,5.9,1.3
2016,Q4,4.0,4.0,0.9,0.2,-2.7,0.9,-1.9,-0.8,1.3,4.7,1.6,0.4,-4.0,2.2,2.4,2.3,1.1,-1.1,1.8,0.8,3.0,-4.5,2.0,-4.3,1.1
2017,Q1,2.6,2.6,1.6,2.2,3.7,2.0,1.8,1.3,1.3,-1.5,1.1,1.7,8.6,1.9,0.0,1.1,4.8,2.2,0.0,-0.8,-0.5,6.6,1.1,-2.7,1.8
2017,Q2,-3.2,-3.2,1.8,0.7,-7.7,1.1,6.5,2.3,2.4,-4.4,2.6,3.4,6.6,0.9,2.2,2.9,1.0,2.3,1.6,1.8,1.7,5.7,1.9,1.5,1.3
2017,Q3,-1.3,-1.3,2.2,2.4,0.5,2.2,3.3,0.8,2.0,1.0,3.1,1.3,5.7,1.5,0.6,0.6,1.2,1.1,0.3,0.4,7.1,1.5,0.7,0.1,1.8
