Table 9 :  Composition of private final consumption expenditure at current market prices (seasonally adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : Million Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1) Individual consumption expenditure of households , (1.1)Food and Non-alcoholic,(1.1.1) Food ,(1.1.1.1) Bread and Cereals,(1.1.1.2)Meat (5),(1.1.1.3)Fish (6),"(1.1.1.4)Milk, Cheese and Eggs",(1.1.1.5)Oil and Fat,(1.1.1.6)Fruit ,(1.1.1.7)Vegetables ,"(1.1.1.8) Sugar, Jam, Honey, Chocolate and Confectionery ",(1.1.1.9) Food Products n.e.c. ,(1.1.2) Non-alcoholic Beverages,"(1.2)Alcoholic Beverages, Tobacco and Narcotic ",(1.2.1) Alcoholic Beverages ,(1.2.2)Tobacco ,(1.3)Clothing and Footwear ,(1.3.1)Clothing,(1.3.2) Footwear ,"(1.4)Housing, Water, Electricity, Gas and Other Fuels ",(1.4.1)Housing and Water ,"(1.4.2)Electricity, Gas and Other Fuels ","(1.5) Furnishings, Households Equipment and Routine Maintenance of the House ","(1.5.1)Furniture and Furnishings, Carpets and Other Floor Covering ",(1.5.2) Households Equipment and Routine Maintenance of the House ,(1.6) Health ,(1.7) Transport ,(1.7.1) Purchase of Vehicles ,(1.7.2) Operation of Personal Transport Equipment,(1.7.3) Transport Services ,(1.8) Communication ,(1.9) Recreation and Culture ,"(1.9.1) Audio-visual, Photographic and Information Processing Equipment",(1.9.2)Other Recreation and Entertainment,"(1.9.3) Newspaper, Books and Stationery",(1.10) Education,(1.11) Restaurants and Hotels ,(1.12) Miscellaneous Goods and Services ,(1.12.1) Personal Care ,(1.12.2)Personal Effects n.e.c. ,(1.12.3)Financial Services ,(1.12.4)Other Services n.e.c. ,(2)Individual consumption expenditure by non-profit institution serving households (NPISHs),(3)Private final consumption expenditure in The Domestic Market ,(4)Plus : Expenditure of Resident Abroad ,(5)Less : Expenditure of Non-resident in The Country ,(6)Private final consumption expenditure ,,,,,,
1993,Q1," 417,683 "," 88,567 "," 76,124 "," 20,857 "," 13,371 "," 8,247 "," 6,922 "," 3,281 "," 7,079 "," 9,140 "," 2,864 "," 4,738 "," 12,217 "," 20,289 "," 11,898 "," 8,382 "," 29,782 "," 26,721 "," 3,037 "," 43,927 "," 34,962 "," 8,887 "," 25,777 "," 8,218 "," 17,600 "," 16,864 "," 59,558 "," 24,190 "," 12,658 "," 22,637 "," 5,069 "," 19,323 "," 5,465 "," 9,055 "," 4,690 "," 4,596 "," 59,951 "," 45,011 "," 7,897 "," 8,539 "," 17,597 "," 11,062 "," 8,865 "," 426,906 "," 12,314 "," 29,254 "," 410,544 ",,,,,,
1993,Q2," 425,153 "," 91,196 "," 78,298 "," 21,015 "," 13,765 "," 8,422 "," 6,998 "," 3,295 "," 7,201 "," 9,992 "," 2,828 "," 4,895 "," 12,971 "," 20,950 "," 12,657 "," 8,012 "," 30,097 "," 26,947 "," 3,127 "," 43,544 "," 34,634 "," 8,931 "," 26,517 "," 8,554 "," 18,022 "," 17,150 "," 59,312 "," 22,543 "," 12,612 "," 24,042 "," 5,608 "," 20,555 "," 6,080 "," 9,748 "," 4,506 "," 3,394 "," 60,563 "," 46,324 "," 8,757 "," 8,520 "," 17,783 "," 11,605 "," 8,874 "," 433,956 "," 12,759 "," 31,029 "," 415,713 ",,,,,,
1993,Q3," 436,553 "," 93,819 "," 80,572 "," 20,965 "," 14,103 "," 8,124 "," 7,106 "," 3,348 "," 7,213 "," 11,478 "," 3,135 "," 5,212 "," 12,948 "," 20,391 "," 12,192 "," 8,181 "," 31,297 "," 27,913 "," 3,411 "," 41,483 "," 32,469 "," 8,988 "," 27,256 "," 8,715 "," 18,572 "," 17,804 "," 61,098 "," 22,454 "," 13,474 "," 25,415 "," 5,303 "," 22,010 "," 6,950 "," 10,471 "," 4,682 "," 5,221 "," 62,662 "," 48,404 "," 8,206 "," 8,423 "," 19,589 "," 11,978 "," 8,956 "," 445,331 "," 13,530 "," 33,817 "," 426,123 ",,,,,,
1993,Q4," 451,029 "," 93,350 "," 81,327 "," 20,981 "," 14,018 "," 7,623 "," 7,234 "," 3,428 "," 7,309 "," 11,674 "," 3,290 "," 5,252 "," 12,457 "," 20,944 "," 12,397 "," 8,928 "," 32,543 "," 28,773 "," 3,848 "," 40,760 "," 31,834 "," 9,037 "," 28,142 "," 8,960 "," 19,061 "," 18,393 "," 66,538 "," 25,957 "," 14,469 "," 26,208 "," 5,456 "," 23,660 "," 7,778 "," 11,056 "," 5,161 "," 4,925 "," 64,977 "," 50,151 "," 8,703 "," 9,147 "," 20,069 "," 11,987 "," 9,219 "," 460,086 "," 17,152 "," 33,728 "," 442,990 ",,,,,,
1994,Q1," 462,347 "," 98,561 "," 84,917 "," 22,155 "," 14,754 "," 9,670 "," 7,360 "," 3,496 "," 7,924 "," 11,263 "," 3,501 "," 5,198 "," 13,490 "," 21,803 "," 12,308 "," 9,444 "," 33,119 "," 29,342 "," 3,716 "," 44,112 "," 34,451 "," 9,612 "," 27,434 "," 9,176 "," 18,297 "," 18,607 "," 63,447 "," 24,128 "," 13,561 "," 25,617 "," 6,288 "," 26,829 "," 9,220 "," 11,628 "," 5,728 "," 5,345 "," 64,252 "," 53,642 "," 9,127 "," 9,567 "," 22,540 "," 12,525 "," 8,569 "," 471,347 "," 18,126 "," 32,303 "," 457,299 ",,,,,,
1994,Q2," 477,088 "," 101,541 "," 87,503 "," 22,594 "," 14,987 "," 9,073 "," 7,570 "," 3,528 "," 8,308 "," 12,487 "," 3,679 "," 5,395 "," 14,015 "," 21,741 "," 12,019 "," 9,451 "," 34,418 "," 30,839 "," 3,543 "," 45,272 "," 35,979 "," 9,304 "," 28,280 "," 9,308 "," 19,061 "," 19,247 "," 65,981 "," 24,870 "," 14,356 "," 26,629 "," 6,433 "," 28,560 "," 10,832 "," 11,866 "," 5,838 "," 5,668 "," 65,630 "," 54,647 "," 8,890 "," 9,768 "," 24,042 "," 12,383 "," 9,659 "," 486,601 "," 18,033 "," 31,903 "," 472,228 ",,,,,,
1994,Q3," 493,308 "," 102,727 "," 89,303 "," 22,544 "," 15,347 "," 9,638 "," 7,965 "," 3,546 "," 8,388 "," 12,730 "," 3,733 "," 5,433 "," 13,175 "," 24,218 "," 11,895 "," 12,129 "," 36,154 "," 32,406 "," 3,801 "," 47,655 "," 38,045 "," 9,613 "," 29,874 "," 9,435 "," 20,453 "," 19,957 "," 67,805 "," 25,889 "," 15,306 "," 26,722 "," 6,418 "," 29,343 "," 11,454 "," 12,292 "," 5,793 "," 5,257 "," 67,762 "," 56,066 "," 9,457 "," 10,390 "," 23,699 "," 12,210 "," 9,819 "," 502,956 "," 19,554 "," 35,399 "," 487,545 ",,,,,,
1994,Q4," 512,223 "," 104,967 "," 90,998 "," 22,019 "," 15,280 "," 9,580 "," 8,564 "," 3,549 "," 8,450 "," 13,573 "," 3,918 "," 5,617 "," 14,258 "," 21,456 "," 12,097 "," 9,715 "," 38,029 "," 34,160 "," 3,915 "," 50,006 "," 39,770 "," 10,289 "," 32,258 "," 9,909 "," 22,249 "," 20,637 "," 72,506 "," 28,515 "," 15,965 "," 28,245 "," 6,444 "," 30,527 "," 11,812 "," 12,815 "," 5,902 "," 5,348 "," 70,084 "," 58,468 "," 9,727 "," 10,931 "," 25,578 "," 11,797 "," 9,852 "," 521,906 "," 19,503 "," 35,401 "," 505,759 ",,,,,,
1995,Q1," 536,632 "," 109,752 "," 94,580 "," 21,933 "," 16,180 "," 9,751 "," 9,462 "," 3,749 "," 8,509 "," 15,414 "," 3,827 "," 5,978 "," 15,209 "," 23,661 "," 14,220 "," 9,336 "," 39,114 "," 35,022 "," 4,015 "," 52,092 "," 41,314 "," 10,699 "," 32,411 "," 9,459 "," 22,963 "," 22,488 "," 76,715 "," 30,327 "," 16,342 "," 29,987 "," 6,657 "," 36,114 "," 15,100 "," 13,999 "," 6,865 "," 6,343 "," 72,317 "," 60,056 "," 10,043 "," 11,317 "," 25,332 "," 13,344 "," 10,030 "," 547,203 "," 19,349 "," 42,868 "," 523,011 ",,,,,,
1995,Q2," 550,109 "," 114,381 "," 98,370 "," 22,824 "," 16,715 "," 9,975 "," 10,059 "," 3,959 "," 9,257 "," 15,531 "," 4,063 "," 6,094 "," 15,741 "," 26,472 "," 15,676 "," 10,578 "," 40,340 "," 36,019 "," 4,233 "," 53,457 "," 42,094 "," 11,336 "," 33,038 "," 9,235 "," 23,781 "," 23,466 "," 77,080 "," 31,107 "," 17,261 "," 28,348 "," 6,886 "," 32,528 "," 10,690 "," 13,672 "," 7,833 "," 6,887 "," 73,733 "," 62,904 "," 10,221 "," 11,562 "," 28,516 "," 13,275 "," 10,016 "," 559,889 "," 19,386 "," 45,152 "," 534,778 ",,,,,,
1995,Q3," 562,299 "," 118,090 "," 101,187 "," 24,628 "," 16,822 "," 10,526 "," 10,582 "," 4,134 "," 9,261 "," 14,973 "," 4,005 "," 6,180 "," 17,052 "," 27,616 "," 16,940 "," 10,605 "," 41,754 "," 37,916 "," 3,972 "," 55,177 "," 43,418 "," 11,797 "," 32,710 "," 9,435 "," 23,286 "," 24,163 "," 77,304 "," 32,657 "," 16,897 "," 27,710 "," 6,524 "," 32,207 "," 9,972 "," 14,484 "," 7,744 "," 7,114 "," 75,902 "," 63,248 "," 10,357 "," 11,814 "," 27,379 "," 13,356 "," 10,019 "," 572,158 "," 19,186 "," 45,453 "," 546,442 ",,,,,,
1995,Q4," 575,744 "," 121,310 "," 104,234 "," 26,440 "," 17,238 "," 10,810 "," 10,519 "," 4,223 "," 9,619 "," 14,557 "," 4,138 "," 6,320 "," 17,094 "," 28,279 "," 16,983 "," 11,757 "," 41,878 "," 37,999 "," 3,865 "," 56,174 "," 44,425 "," 11,778 "," 31,943 "," 9,255 "," 22,675 "," 24,637 "," 75,538 "," 31,866 "," 17,151 "," 26,908 "," 9,525 "," 33,828 "," 11,142 "," 14,760 "," 7,915 "," 7,335 "," 77,476 "," 66,135 "," 10,634 "," 11,909 "," 29,615 "," 13,580 "," 9,855 "," 585,474 "," 20,479 "," 47,114 "," 558,865 ",,,,,,
1996,Q1," 586,754 "," 123,017 "," 107,305 "," 27,036 "," 17,958 "," 10,148 "," 10,665 "," 4,247 "," 9,944 "," 16,152 "," 4,340 "," 6,883 "," 16,040 "," 29,830 "," 17,502 "," 12,074 "," 43,426 "," 39,498 "," 3,852 "," 57,436 "," 45,297 "," 12,086 "," 36,014 "," 10,342 "," 25,701 "," 25,973 "," 77,788 "," 32,655 "," 18,191 "," 27,224 "," 9,271 "," 35,345 "," 11,218 "," 16,613 "," 7,631 "," 7,074 "," 76,145 "," 65,818 "," 10,497 "," 10,647 "," 30,543 "," 14,156 "," 10,524 "," 597,865 "," 19,899 "," 49,654 "," 566,916 ",,,,,,
1996,Q2," 616,731 "," 125,881 "," 110,154 "," 27,439 "," 18,387 "," 10,726 "," 11,504 "," 4,345 "," 10,280 "," 16,202 "," 4,368 "," 7,195 "," 15,282 "," 28,311 "," 17,246 "," 11,040 "," 46,452 "," 41,554 "," 4,765 "," 59,423 "," 46,954 "," 12,453 "," 35,771 "," 9,954 "," 25,788 "," 26,832 "," 81,016 "," 31,492 "," 19,272 "," 29,610 "," 9,928 "," 40,230 "," 13,232 "," 18,732 "," 8,137 "," 8,052 "," 85,641 "," 71,850 "," 11,391 "," 12,390 "," 33,890 "," 14,841 "," 10,061 "," 626,427 "," 20,500 "," 50,390 "," 596,819 ",,,,,,
1996,Q3," 633,094 "," 132,262 "," 113,831 "," 27,700 "," 19,270 "," 11,026 "," 11,332 "," 4,293 "," 11,649 "," 16,264 "," 4,539 "," 7,597 "," 18,914 "," 30,061 "," 18,423 "," 11,453 "," 44,294 "," 40,219 "," 4,298 "," 61,829 "," 48,912 "," 12,947 "," 33,701 "," 8,967 "," 24,751 "," 27,467 "," 84,125 "," 32,589 "," 19,401 "," 32,227 "," 10,556 "," 43,878 "," 14,808 "," 18,782 "," 10,091 "," 9,189 "," 80,971 "," 73,266 "," 11,567 "," 11,830 "," 34,584 "," 15,019 "," 10,774 "," 643,762 "," 20,432 "," 51,423 "," 613,286 ",,,,,,
1996,Q4," 642,998 "," 143,727 "," 122,449 "," 28,598 "," 19,646 "," 11,258 "," 13,631 "," 4,830 "," 13,221 "," 18,825 "," 4,075 "," 8,797 "," 20,882 "," 31,458 "," 19,126 "," 12,783 "," 47,087 "," 42,757 "," 4,266 "," 64,422 "," 51,256 "," 13,214 "," 32,502 "," 8,660 "," 23,812 "," 28,451 "," 84,201 "," 31,201 "," 20,436 "," 33,053 "," 9,255 "," 39,654 "," 12,244 "," 18,785 "," 8,671 "," 9,628 "," 80,457 "," 71,090 "," 11,310 "," 11,519 "," 33,119 "," 14,876 "," 10,682 "," 653,678 "," 19,602 "," 52,622 "," 620,522 ",,,,,,
1997,Q1," 636,969 "," 138,120 "," 118,432 "," 30,104 "," 19,410 "," 10,986 "," 14,254 "," 4,953 "," 12,077 "," 13,907 "," 4,606 "," 7,773 "," 20,303 "," 31,944 "," 18,248 "," 13,541 "," 48,083 "," 43,954 "," 4,069 "," 66,540 "," 53,092 "," 13,314 "," 30,845 "," 8,289 "," 22,673 "," 28,358 "," 83,184 "," 29,477 "," 21,583 "," 32,234 "," 10,070 "," 35,838 "," 9,969 "," 18,257 "," 7,693 "," 9,021 "," 81,783 "," 73,077 "," 11,229 "," 12,031 "," 34,949 "," 14,843 "," 10,751 "," 648,150 "," 21,020 "," 51,965 "," 616,841 ",,,,,,
1997,Q2," 655,891 "," 145,910 "," 120,449 "," 31,830 "," 19,570 "," 11,044 "," 14,019 "," 4,777 "," 11,837 "," 15,082 "," 4,601 "," 7,976 "," 24,396 "," 33,790 "," 19,933 "," 13,682 "," 47,090 "," 42,945 "," 4,050 "," 68,691 "," 54,763 "," 14,017 "," 32,805 "," 7,945 "," 24,765 "," 28,857 "," 85,186 "," 28,988 "," 22,174 "," 33,318 "," 10,626 "," 36,194 "," 10,025 "," 18,099 "," 7,777 "," 10,261 "," 86,017 "," 73,278 "," 11,627 "," 11,552 "," 35,427 "," 15,055 "," 11,119 "," 666,600 "," 20,791 "," 50,479 "," 635,999 ",,,,,,
1997,Q3," 650,608 "," 150,566 "," 130,074 "," 36,094 "," 19,536 "," 11,300 "," 14,091 "," 4,594 "," 12,380 "," 18,192 "," 4,716 "," 9,061 "," 21,043 "," 34,648 "," 20,667 "," 13,713 "," 44,486 "," 40,599 "," 4,134 "," 70,504 "," 56,004 "," 14,431 "," 34,737 "," 7,188 "," 27,670 "," 29,226 "," 76,103 "," 22,695 "," 23,278 "," 30,368 "," 11,421 "," 34,609 "," 8,976 "," 18,270 "," 7,487 "," 10,974 "," 81,365 "," 70,422 "," 11,908 "," 11,782 "," 31,488 "," 15,367 "," 11,037 "," 661,615 "," 18,331 "," 51,003 "," 629,397 ",,,,,,
1997,Q4," 638,381 "," 151,793 "," 131,013 "," 37,142 "," 20,118 "," 12,179 "," 13,400 "," 4,313 "," 13,329 "," 17,337 "," 4,865 "," 8,502 "," 20,187 "," 32,310 "," 20,486 "," 12,310 "," 44,933 "," 40,755 "," 4,092 "," 72,368 "," 56,858 "," 15,725 "," 33,968 "," 5,869 "," 28,204 "," 29,249 "," 69,980 "," 14,597 "," 24,763 "," 30,788 "," 11,086 "," 33,668 "," 8,312 "," 18,236 "," 7,289 "," 11,304 "," 79,620 "," 67,325 "," 12,597 "," 11,115 "," 27,267 "," 16,270 "," 11,285 "," 649,742 "," 16,368 "," 52,544 "," 613,280 ",,,,,,
1998,Q1," 637,073 "," 153,927 "," 136,089 "," 41,686 "," 20,224 "," 13,490 "," 13,636 "," 4,125 "," 11,098 "," 18,087 "," 4,842 "," 8,606 "," 18,777 "," 36,453 "," 22,928 "," 13,276 "," 44,696 "," 40,423 "," 4,229 "," 74,975 "," 58,076 "," 16,759 "," 35,136 "," 5,526 "," 29,422 "," 26,319 "," 74,930 "," 13,104 "," 26,445 "," 34,779 "," 9,218 "," 31,864 "," 8,504 "," 16,893 "," 6,290 "," 10,794 "," 77,823 "," 60,799 "," 13,529 "," 9,906 "," 24,712 "," 12,512 "," 11,156 "," 648,611 "," 14,446 "," 55,606 "," 607,812 ",,,,,,
1998,Q2," 635,275 "," 161,448 "," 142,920 "," 43,042 "," 20,209 "," 13,672 "," 15,499 "," 4,286 "," 10,940 "," 21,316 "," 5,371 "," 9,285 "," 17,965 "," 36,125 "," 23,280 "," 12,765 "," 45,368 "," 41,558 "," 3,750 "," 78,821 "," 61,819 "," 17,025 "," 32,318 "," 5,491 "," 26,704 "," 26,539 "," 71,782 "," 11,758 "," 26,237 "," 33,987 "," 8,666 "," 28,586 "," 6,252 "," 15,484 "," 6,638 "," 12,396 "," 77,891 "," 57,000 "," 12,575 "," 8,224 "," 22,636 "," 13,358 "," 12,143 "," 646,862 "," 12,787 "," 54,328 "," 604,139 ",,,,,,
1998,Q3," 637,360 "," 156,708 "," 140,632 "," 41,760 "," 20,389 "," 13,421 "," 14,991 "," 4,473 "," 10,681 "," 20,761 "," 5,076 "," 8,954 "," 16,114 "," 35,428 "," 22,796 "," 12,543 "," 46,666 "," 43,273 "," 3,566 "," 79,485 "," 62,811 "," 16,511 "," 31,074 "," 6,714 "," 24,420 "," 26,846 "," 73,518 "," 10,275 "," 26,717 "," 36,843 "," 8,120 "," 28,479 "," 6,472 "," 15,615 "," 6,463 "," 12,494 "," 78,462 "," 58,676 "," 12,616 "," 7,833 "," 24,995 "," 13,617 "," 11,034 "," 648,532 "," 14,527 "," 60,667 "," 603,828 ",,,,,,
1998,Q4," 642,494 "," 156,133 "," 139,142 "," 39,342 "," 20,332 "," 13,490 "," 15,558 "," 4,706 "," 10,858 "," 20,407 "," 5,388 "," 8,992 "," 16,326 "," 36,919 "," 24,980 "," 12,013 "," 47,852 "," 44,194 "," 3,515 "," 82,648 "," 66,797 "," 16,091 "," 26,461 "," 4,697 "," 21,760 "," 27,591 "," 74,165 "," 12,049 "," 25,898 "," 36,452 "," 7,815 "," 30,433 "," 8,418 "," 15,645 "," 6,330 "," 12,749 "," 80,657 "," 59,222 "," 11,052 "," 6,687 "," 27,499 "," 13,747 "," 12,040 "," 654,640 "," 16,887 "," 58,126 "," 612,984 ",,,,,,
1999,Q1," 641,865 "," 155,313 "," 135,829 "," 37,016 "," 20,292 "," 14,045 "," 14,961 "," 5,371 "," 10,602 "," 19,166 "," 5,320 "," 8,786 "," 20,393 "," 33,475 "," 22,103 "," 11,380 "," 48,281 "," 44,605 "," 3,707 "," 76,571 "," 60,966 "," 15,339 "," 30,882 "," 4,759 "," 25,982 "," 29,398 "," 73,893 "," 12,578 "," 23,853 "," 36,584 "," 8,399 "," 29,121 "," 7,198 "," 15,740 "," 6,091 "," 12,392 "," 83,344 "," 59,346 "," 13,235 "," 8,701 "," 23,245 "," 14,134 "," 11,864 "," 654,094 "," 18,154 "," 58,710 "," 613,326 ",,,,,,
1999,Q2," 648,278 "," 154,840 "," 134,108 "," 35,470 "," 20,773 "," 14,293 "," 14,403 "," 5,594 "," 10,468 "," 19,292 "," 5,412 "," 8,711 "," 20,037 "," 33,628 "," 22,001 "," 11,513 "," 50,225 "," 46,263 "," 3,938 "," 77,281 "," 63,782 "," 13,853 "," 29,739 "," 4,806 "," 24,853 "," 30,739 "," 78,256 "," 14,526 "," 26,483 "," 37,543 "," 9,611 "," 31,227 "," 8,321 "," 16,835 "," 6,069 "," 12,491 "," 83,294 "," 58,760 "," 13,128 "," 9,813 "," 21,451 "," 14,054 "," 12,159 "," 659,737 "," 17,948 "," 60,016 "," 617,259 ",,,,,,
1999,Q3," 678,243 "," 154,544 "," 134,298 "," 35,130 "," 20,368 "," 14,611 "," 14,413 "," 5,508 "," 9,749 "," 19,786 "," 5,660 "," 8,971 "," 20,401 "," 34,429 "," 22,910 "," 11,477 "," 52,458 "," 48,576 "," 3,959 "," 84,605 "," 69,348 "," 15,099 "," 31,101 "," 4,809 "," 26,506 "," 31,503 "," 85,453 "," 17,838 "," 29,101 "," 38,782 "," 10,609 "," 32,051 "," 9,145 "," 16,911 "," 6,149 "," 13,290 "," 86,707 "," 60,151 "," 13,427 "," 9,687 "," 23,671 "," 13,922 "," 12,375 "," 690,887 "," 17,989 "," 59,333 "," 650,398 ",,,,,,
1999,Q4," 695,283 "," 156,480 "," 135,876 "," 35,819 "," 19,787 "," 14,932 "," 14,472 "," 5,102 "," 9,567 "," 20,917 "," 5,585 "," 9,411 "," 20,317 "," 38,491 "," 26,356 "," 12,071 "," 53,560 "," 49,408 "," 4,075 "," 85,515 "," 70,513 "," 15,089 "," 32,241 "," 4,959 "," 27,304 "," 32,584 "," 89,178 "," 19,881 "," 30,899 "," 38,642 "," 11,612 "," 34,445 "," 9,775 "," 18,125 "," 6,530 "," 13,733 "," 88,129 "," 59,888 "," 14,100 "," 10,031 "," 21,288 "," 14,053 "," 12,402 "," 707,755 "," 21,028 "," 61,947 "," 666,522 ",,,,,,
2000,Q1," 705,156 "," 156,292 "," 135,968 "," 36,402 "," 19,378 "," 15,696 "," 14,626 "," 5,023 "," 9,759 "," 19,839 "," 5,778 "," 9,510 "," 21,121 "," 36,313 "," 24,272 "," 12,096 "," 53,382 "," 49,408 "," 4,025 "," 86,977 "," 70,882 "," 15,803 "," 32,763 "," 4,998 "," 27,577 "," 32,718 "," 92,294 "," 20,668 "," 32,269 "," 38,743 "," 13,168 "," 35,135 "," 9,877 "," 18,401 "," 6,634 "," 13,322 "," 89,541 "," 62,010 "," 13,772 "," 10,314 "," 24,063 "," 14,146 "," 12,652 "," 718,226 "," 18,581 "," 62,651 "," 674,524 ",,,,,,
2000,Q2," 703,273 "," 156,212 "," 134,454 "," 37,031 "," 18,864 "," 17,521 "," 14,326 "," 4,893 "," 10,087 "," 17,370 "," 5,707 "," 8,988 "," 21,003 "," 37,940 "," 25,526 "," 12,432 "," 54,953 "," 50,872 "," 4,084 "," 85,515 "," 69,377 "," 16,326 "," 32,800 "," 4,941 "," 27,834 "," 33,883 "," 90,084 "," 19,671 "," 32,371 "," 38,258 "," 13,845 "," 35,985 "," 10,403 "," 19,383 "," 6,356 "," 11,679 "," 91,226 "," 60,948 "," 13,861 "," 10,494 "," 21,675 "," 14,721 "," 12,289 "," 714,763 "," 22,684 "," 68,700 "," 669,349 ",,,,,,
2000,Q3," 719,420 "," 160,203 "," 138,134 "," 37,971 "," 18,644 "," 17,295 "," 14,595 "," 4,760 "," 11,357 "," 18,279 "," 5,737 "," 9,495 "," 22,188 "," 38,942 "," 26,421 "," 12,386 "," 53,418 "," 49,141 "," 4,262 "," 84,074 "," 66,987 "," 17,073 "," 34,319 "," 5,348 "," 29,168 "," 34,812 "," 93,522 "," 19,363 "," 35,188 "," 39,270 "," 15,509 "," 37,207 "," 11,304 "," 18,964 "," 6,897 "," 13,237 "," 93,731 "," 59,694 "," 14,298 "," 10,675 "," 20,255 "," 14,841 "," 14,173 "," 733,940 "," 24,295 "," 69,782 "," 689,424 ",,,,,,
2000,Q4," 743,421 "," 162,743 "," 139,946 "," 38,408 "," 19,020 "," 17,396 "," 15,033 "," 5,019 "," 11,817 "," 17,918 "," 5,844 "," 9,327 "," 22,712 "," 39,628 "," 27,180 "," 12,367 "," 54,122 "," 49,853 "," 4,275 "," 85,443 "," 67,971 "," 17,571 "," 36,089 "," 5,841 "," 30,213 "," 36,464 "," 99,571 "," 20,691 "," 36,366 "," 42,438 "," 17,082 "," 38,328 "," 11,394 "," 19,557 "," 7,523 "," 14,114 "," 95,075 "," 65,768 "," 14,447 "," 10,878 "," 25,052 "," 14,776 "," 13,497 "," 756,938 "," 23,499 "," 68,128 "," 711,755 ",,,,,,
2001,Q1," 756,909 "," 165,533 "," 144,362 "," 38,327 "," 19,467 "," 16,930 "," 15,749 "," 5,005 "," 13,023 "," 19,876 "," 6,034 "," 9,825 "," 21,899 "," 39,583 "," 27,173 "," 12,551 "," 56,504 "," 52,320 "," 4,216 "," 88,384 "," 69,421 "," 18,860 "," 35,349 "," 6,004 "," 29,235 "," 38,656 "," 99,436 "," 21,656 "," 36,263 "," 41,100 "," 16,878 "," 39,590 "," 12,004 "," 19,920 "," 7,501 "," 13,944 "," 95,602 "," 64,975 "," 14,125 "," 11,072 "," 25,509 "," 14,599 "," 13,829 "," 771,050 "," 26,829 "," 66,726 "," 730,728 ",,,,,,
2001,Q2," 774,390 "," 166,747 "," 142,834 "," 38,107 "," 19,595 "," 17,093 "," 16,668 "," 5,079 "," 11,509 "," 19,271 "," 6,109 "," 9,628 "," 23,137 "," 42,422 "," 27,942 "," 14,516 "," 57,884 "," 53,699 "," 4,190 "," 89,011 "," 69,178 "," 19,733 "," 37,367 "," 6,443 "," 30,959 "," 39,899 "," 105,826 "," 24,117 "," 38,940 "," 42,890 "," 17,793 "," 40,076 "," 11,572 "," 20,991 "," 7,556 "," 13,157 "," 96,958 "," 69,335 "," 14,606 "," 11,771 "," 28,266 "," 14,900 "," 13,978 "," 787,807 "," 28,734 "," 75,612 "," 742,554 ",,,,,,
2001,Q3," 788,045 "," 169,455 "," 145,890 "," 37,626 "," 20,286 "," 18,112 "," 17,181 "," 5,289 "," 11,379 "," 20,001 "," 6,084 "," 9,817 "," 23,669 "," 44,293 "," 29,698 "," 14,327 "," 58,280 "," 54,107 "," 4,163 "," 90,595 "," 69,789 "," 20,844 "," 37,475 "," 6,697 "," 30,888 "," 40,817 "," 104,461 "," 25,722 "," 36,973 "," 42,159 "," 19,176 "," 40,570 "," 11,571 "," 21,070 "," 7,794 "," 13,853 "," 97,244 "," 71,648 "," 14,965 "," 11,908 "," 29,595 "," 15,355 "," 14,626 "," 802,901 "," 25,711 "," 72,229 "," 756,499 ",,,,,,
2001,Q4," 795,977 "," 171,573 "," 147,650 "," 36,993 "," 20,428 "," 18,042 "," 17,732 "," 5,086 "," 12,319 "," 20,669 "," 6,225 "," 10,109 "," 23,851 "," 42,774 "," 28,617 "," 14,306 "," 58,402 "," 54,246 "," 4,135 "," 91,612 "," 71,403 "," 20,245 "," 38,487 "," 6,998 "," 31,419 "," 40,877 "," 103,124 "," 26,348 "," 35,790 "," 40,929 "," 22,695 "," 39,846 "," 12,986 "," 19,791 "," 7,354 "," 13,971 "," 98,705 "," 73,370 "," 15,109 "," 12,046 "," 29,628 "," 15,858 "," 14,615 "," 810,573 "," 22,790 "," 68,461 "," 765,054 ",,,,,,
2002,Q1," 812,159 "," 176,373 "," 150,042 "," 36,948 "," 21,545 "," 18,440 "," 17,744 "," 4,859 "," 12,925 "," 20,608 "," 6,523 "," 10,239 "," 27,029 "," 41,624 "," 27,485 "," 14,112 "," 57,688 "," 53,544 "," 4,164 "," 92,870 "," 72,440 "," 20,410 "," 38,830 "," 7,013 "," 31,720 "," 38,630 "," 104,369 "," 26,234 "," 36,995 "," 40,765 "," 20,778 "," 44,189 "," 15,233 "," 20,824 "," 7,938 "," 14,607 "," 105,570 "," 75,112 "," 15,418 "," 11,915 "," 32,058 "," 15,990 "," 14,465 "," 826,803 "," 26,501 "," 75,452 "," 777,513 ",,,,,,
